DATE;IBOV;DY_IBOV;SELIC
43146;84290,56;0.28;6.65
43147;84524,58;2.79;6.65
43150;84792,71;2.92;6.65
43151;85803,95;2.88;6.65
43152;86051,82;0.29;6.65
43153;86686,45;0.29;6.65
43154;87293,24;2.84;6.65
43157;87652,64;0.28;6.65
43158;86935,44;2.78;6.65
43159;85353,59;2.82;6.65
43160;85377,79;3.17;6.65
43161;85761,34;3.18;6.65
43164;86022,83;3.19;6.65
43165;85653,02;0.32;6.65
43166;85483,55;3.21;6.65
43167;84984,61;3.23;6.65
43168;86371,41;3.18;6.65
43171;86900,43;3.15;6.65
43172;86383,84;3.18;6.65
43173;86050,96;0.32;6.65
43174;84928,2;3.22;6.65
43175;84886,48;0.32;6.65
43178;83913,06;3.30;6.65
43179;84163,8;0.33;6.65
43180;84976,59;3.27;6.65
43181;84767,88;3.27;6.4
43182;84377,2;0.33;6.4
43185;85087,86;3.29;6.4
43186;83808,05;3.35;6.4
43187;83874,13;3.34;6.4
43188;85365,56;3.28;6.4
43192;84666,44;3.34;6.4
43193;84623,46;3.36;6.4
43194;84359,69;3.37;6.4
43195;85209,66;3.33;6.4
43196;84820,42;3.34;6.4
43199;83307,23;3.42;6.4
43200;84510,36;3.41;6.4
43201;85245,59;3.38;6.4
43202;85443,53;0.34;6.4
43203;84334,41;#VALUE!;6.4
43206;82861,58;3.55;6.4
43207;84086,13;3.50;6.4
43208;85776,46;3.42;6.4
43209;85824,26;3.42;6.4
43210;85550,09;3.42;6.4
43213;85602,5;3.42;6.4
43214;85469,08;3.43;6.4
43215;85044,39;3.45;6.4
43216;86383,2;3.49;6.4
43217;86444,66;3.54;6.4
43220;86115,5;#VALUE!;6.4
43222;84547,09;3.66;6.4
43223;83288,14;3.67;6.4
43224;83118,03;3.69;6.4
43227;82714,42;3.63;6.4
43228;82956,05;3.60;6.4
43229;84265,49;3.57;6.4
43230;85861,2;0.35;6.4
43231;85220,23;3.53;6.4
43234;85232,19;3.51;6.4
43235;85130,42;3.52;6.4
43236;86536,97;3.47;6.4
43237;83621,95;3.58;6.4
43238;83081,88;3.70;6.4
43241;81815,31;3.76;6.4
43242;82738,88;3.75;6.4
43243;80867,29;3.82;6.4
43244;80122,31;#VALUE!;6.4
43245;78897,66;0.39;6.4
43248;75355,84;4.11;6.4
43249;76071,98;4.05;6.4
43250;76753,62;4.01;6.4
43252;77239,75;4.03;6.4
43255;78596,06;4.14;6.4
43256;76641,73;4.04;6.4
43257;76117,23;4.07;6.4
43258;73851,47;4.20;6.4
43259;72942,07;4.25;6.4
43262;72307,77;4.28;6.4
43263;72754,13;4.25;6.4
43264;72122,13;0.43;6.4
43265;71421,2;4.34;6.4
43266;70757,73;0.44;6.4
43269;69814,73;4.42;6.4
43270;71394,34;4.30;6.4
43271;72123,41;4.27;6.4
43272;70074,9;4.40;6.4
43273;70640,65;4.37;6.4
43276;70952,97;4.32;6.4
43277;71404,59;4.28;6.4
43278;70609;4.33;6.4
43279;71766,52;4.26;6.4
43280;72762,51;4.19;6.4
43283;72839,74;4.18;6.4
43284;73667,75;4.13;6.4
43285;74743,11;4.07;6.4
43286;74553,06;4.08;6.4
43287;75010,39;4.06;6.4
43291;74862,38;4.07;6.4
43292;74398,55;4.13;6.4
43293;75856,22;4.05;6.4
43294;76594,35;0.40;6.4
43297;76652,58;4.03;6.4
43298;78130,3;3.95;6.4
43299;77362,63;4.00;6.4
43300;77486,84;4.00;6.4
43301;78571,29;3.93;6.4
43304;77996,12;3.93;6.4
43305;79154,98;3.87;6.4
